name,query_type,recip_rank,success_10,success_20,success_50,success_100,success_10 (%),success_20 (%),success_50 (%),success_100 (%)
BM25 (Gemini LLM),1,0.4319,0.5882352941176471,0.7647058823529411,0.7647058823529411,0.8823529411764706,58.82,76.47,76.47,88.24
BM25 (Gemini LLM),2,0.279,0.5882352941176471,0.6470588235294118,0.8235294117647058,0.8235294117647058,58.82,64.71,82.35,82.35
BM25 (Gemini LLM),3,0.206,0.35294117647058826,0.4117647058823529,0.7058823529411765,0.8823529411764706,35.29,41.18,70.59,88.24
BM25 (Google NMT),1,0.1172,0.23529411764705882,0.35294117647058826,0.5294117647058824,0.5882352941176471,23.53,35.29,52.94,58.82
BM25 (Google NMT),2,0.1263,0.17647058823529413,0.4117647058823529,0.6470588235294118,0.7058823529411765,17.65,41.18,64.71,70.59
BM25 (Google NMT),3,0.1919,0.17647058823529413,0.29411764705882354,0.35294117647058826,0.5882352941176471,17.65,29.41,35.29,58.82
BM25+RM3 (Gemini LLM),1,0.4716,0.6470588235294118,0.7647058823529411,0.8235294117647058,0.8823529411764706,64.71,76.47,82.35,88.24
BM25+RM3 (Gemini LLM),2,0.2619,0.5294117647058824,0.6470588235294118,0.8823529411764706,0.8823529411764706,52.94,64.71,88.24,88.24
BM25+RM3 (Gemini LLM),3,0.163,0.23529411764705882,0.35294117647058826,0.6470588235294118,0.7058823529411765,23.53,35.29,64.71,70.59
BM25+RM3 (Google NMT),1,0.1391,0.35294117647058826,0.47058823529411764,0.5882352941176471,0.5882352941176471,35.29,47.06,58.82,58.82
BM25+RM3 (Google NMT),2,0.1398,0.23529411764705882,0.47058823529411764,0.6470588235294118,0.7058823529411765,23.53,47.06,64.71,70.59
BM25+RM3 (Google NMT),3,0.1928,0.23529411764705882,0.35294117647058826,0.35294117647058826,0.4117647058823529,23.53,35.29,35.29,41.18
