name,query_type,recip_rank,success_10,success_20,success_50,success_100,success_10 (%),success_20 (%),success_50 (%),success_100 (%)
BM25 (Gemini LLM),1,0.4384,0.6862745098039216,0.803921568627451,0.8823529411764706,0.9607843137254902,68.63,80.39,88.24,96.08
BM25 (Gemini LLM),2,0.3453,0.5686274509803921,0.6666666666666666,0.7843137254901961,0.8431372549019608,56.86,66.67,78.43,84.31
BM25 (Gemini LLM),3,0.24,0.37254901960784315,0.45098039215686275,0.6862745098039216,0.8627450980392157,37.25,45.1,68.63,86.27
BM25 (Google NMT),1,0.2201,0.35294117647058826,0.39215686274509803,0.5098039215686274,0.5882352941176471,35.29,39.22,50.98,58.82
BM25 (Google NMT),2,0.1277,0.23529411764705882,0.35294117647058826,0.5882352941176471,0.6862745098039216,23.53,35.29,58.82,68.63
BM25 (Google NMT),3,0.1417,0.19607843137254902,0.27450980392156865,0.47058823529411764,0.7058823529411765,19.61,27.45,47.06,70.59
BM25+RM3 (Gemini LLM),1,0.4549,0.6862745098039216,0.7647058823529411,0.9215686274509803,0.9607843137254902,68.63,76.47,92.16,96.08
BM25+RM3 (Gemini LLM),2,0.3517,0.6078431372549019,0.6862745098039216,0.803921568627451,0.8823529411764706,60.78,68.63,80.39,88.24
BM25+RM3 (Gemini LLM),3,0.2061,0.29411764705882354,0.4117647058823529,0.6078431372549019,0.7843137254901961,29.41,41.18,60.78,78.43
BM25+RM3 (Google NMT),1,0.2149,0.39215686274509803,0.45098039215686275,0.5098039215686274,0.6078431372549019,39.22,45.1,50.98,60.78
BM25+RM3 (Google NMT),2,0.1295,0.21568627450980393,0.4117647058823529,0.5882352941176471,0.6862745098039216,21.57,41.18,58.82,68.63
BM25+RM3 (Google NMT),3,0.1336,0.21568627450980393,0.35294117647058826,0.43137254901960786,0.5098039215686274,21.57,35.29,43.14,50.98
